vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan
040724_KL001B-KL001Y,040724,multi,train,True,,-1,-1,False,-1
041524_EB005Y-EB007R,041524,multi,train,True,,-1,-1,False,-1
041524_EB011Y-EB015R,041524,multi,train,True,,-1,-1,False,-1
041524_EB001R-EB003B,041524,multi,train,True,,-1,-1,False,-1
041524_EB027Y-EB029R,041524,multi,train,True,,-1,-1,False,-1
041524_EB031B-EB033Y,041524,multi,train,True,,-1,-1,False,-1
041524_EB009B-EB019Y,041524,multi,train,True,,-1,-1,False,-1
041524_EB021R-EB023B,041524,multi,train,True,,-1,-1,False,-1
042324_EB027Y-EB029R,042324,multi,train,True,,-1,-1,False,-1
042324_EB011Y-EB015R,042324,multi,train,True,,-1,-1,False,-1
042324_EB005Y-EB007R,042324,multi,train,True,,-1,-1,False,-1
042324_EB009B-EB033Y,042324,multi,train,True,,-1,-1,False,-1
042324_EB001R-EB031B,042324,multi,train,True,,-1,-1,False,-1
042324_EB021R-EB023B,042324,multi,train,True,,-1,-1,False,-1
042324_EB003B-EB019Y,042324,multi,train,True,,-1,-1,False,-1
040324_KL008G-KL008B,040324,multi,train,True,,-1,-1,False,-1
040324_KL006R-KL006G,040324,multi,train,True,,-1,-1,False,-1
040324_KL004R-KL004G,040324,multi,train,True,,-1,-1,False,-1
040324_KL003G-KL003B,040324,multi,train,True,,-1,-1,False,-1
040324_KL005B-KL005Y,040324,multi,train,True,,-1,-1,False,-1
040324_KL002B-KL002Y,040324,multi,train,True,,-1,-1,False,-1
040324_KL007G-KL007Y,040324,multi,train,True,,-1,-1,False,-1
040324_KL001B-KL001Y,040324,multi,train,True,,-1,-1,False,-1
041124_EB031B-EB033Y,041124,multi,train,True,,-1,-1,False,-1
041124_EB027Y-EB029R,041124,multi,train,True,,-1,-1,False,-1
041124_EB009B-EB019Y,041124,multi,train,True,,-1,-1,False,-1
041124_EB001R-EB003B,041124,multi,train,True,,-1,-1,False,-1
041124_EB021R-EB023B,041124,multi,train,True,,-1,-1,False,-1
041124_EB005Y-EB007R,041124,multi,train,True,,-1,-1,False,-1
041124_EB011Y-EB015R,041124,multi,train,True,,-1,-1,False,-1
012925_KM012R-KM012G,012925,multi,train,True,,-1,-1,False,-1
012925_NF021R-NF021G,012925,multi,train,True,,-1,-1,False,-1
012925_KM009R-KM009G,012925,multi,train,True,,-1,-1,False,-1
120924_NF031G-NF031R,120924,multi,train,True,,-1,-1,False,-1
120924_NM004B-NM004Y,120924,multi,train,True,,-1,-1,False,-1
120924_NM013R-NM013G,120924,multi,train,True,,-1,-1,False,-1
120924_NM015R-NM015G,120924,multi,train,True,,-1,-1,False,-1
120924_NM028R-NM028G,120924,multi,train,True,,-1,-1,False,-1
120924_NM001R-NM001G,120924,multi,train,True,,-1,-1,False,-1
111824_NM005R-NM005G,111824,multi,train,True,,-1,-1,False,-1
111824_NF019R-NF019G,111824,multi,train,True,,-1,-1,False,-1
111824_NF010B-NF010Y,111824,multi,train,True,,-1,-1,False,-1
111824_NF008B-NF008Y,111824,multi,train,True,,-1,-1,False,-1
111824_NF032Y-NF032B,111824,multi,train,True,,-1,-1,False,-1
111824_NM003R-NM003G,111824,multi,train,True,,-1,-1,False,-1
111824_NM014B-NM014Y,111824,multi,train,True,,-1,-1,False,-1
111824_NF009R-NF009G,111824,multi,train,True,,-1,-1,False,-1
111824_NF018B-NF018Y,111824,multi,train,True,,-1,-1,False,-1
111824_NM006B-NM006B,111824,multi,train,True,,-1,-1,False,-1
111824_NM011R-NM011G,111824,multi,train,True,,-1,-1,False,-1
112624_NF020B-NF020Y,112624,multi,train,True,,-1,-1,False,-1
112624_NM001R-NM001G,112624,multi,train,True,,-1,-1,False,-1
112624_NF017R-NF017G,112624,multi,train,True,,-1,-1,False,-1
112624_NM003R-NM003G,112624,multi,train,True,,-1,-1,False,-1
112624_NM015R-NM015G,112624,multi,train,True,,-1,-1,False,-1
112624_NM028R-NM028G,112624,multi,train,True,,-1,-1,False,-1
112624_NM016B-NM016Y,112624,multi,train,True,,-1,-1,False,-1
112624_NF019R-NF019G,112624,multi,train,True,,-1,-1,False,-1
112624_NM002B-NM002Y,112624,multi,train,True,,-1,-1,False,-1
112624_NF031R-NF031G,112624,multi,train,True,,-1,-1,False,-1
112624_NM004B-NM004B,112624,multi,train,True,,-1,-1,False,-1
112624_NM014B-NM014Y,112624,multi,train,True,,-1,-1,False,-1
120524_NM001R-NM001G,120524,multi,train,True,,-1,-1,False,-1
120524_NM016B-NM016Y,120524,multi,train,True,,-1,-1,False,-1
120524_NM013R-NM013G,120524,multi,train,True,,-1,-1,False,-1
120524_NM004B-NM004B,120524,multi,train,True,,-1,-1,False,-1
120524_NM028R-NM028G,120524,multi,train,True,,-1,-1,False,-1
121324_NM013R-NM013G,121324,multi,train,True,,-1,-1,False,-1
012025_KM010B-KM010Y,012025,multi,train,True,,-1,-1,False,-1
012025_NF033R-NF033B,012025,multi,train,True,,-1,-1,False,-1
070224_HF006G-HF008Y,070224,multi,train,True,,-1,-1,False,-1
070224_HF001R-HF002G,070224,multi,train,True,,-1,-1,False,-1
070224_HF003B-HF004Y,070224,multi,train,True,,-1,-1,False,-1
071024_HF006G-HF008Y,071024,multi,train,True,,-1,-1,False,-1
071024_HF003B-HF004Y,071024,multi,train,True,,-1,-1,False,-1
071024_HF001R-HF002G,071024,multi,train,True,,-1,-1,False,-1
111424_NM005R-NM005G,111424,multi,train,True,,-1,-1,False,-1
111424_NM011R-NM011G,111424,multi,train,True,,-1,-1,False,-1
111424_NF010B-NF010Y,111424,multi,train,True,,-1,-1,False,-1
111424_NF018B-NF018Y,111424,multi,train,True,,-1,-1,False,-1
111424_NF019R-NF019G,111424,multi,train,True,,-1,-1,False,-1
112224_NM028R-NM028G,112224,multi,train,True,,-1,-1,False,-1
112224_NM002B-NM002Y,112224,multi,train,True,,-1,-1,False,-1
112224_NM004B-NM004B,112224,multi,train,True,,-1,-1,False,-1
112224_NM014B-NM014Y,112224,multi,train,True,,-1,-1,False,-1
112224_NF032B-NF032Y,112224,multi,train,True,,-1,-1,False,-1
112224_NF017R-NF017G,112224,multi,train,True,,-1,-1,False,-1
112224_NF019R-NF019G,112224,multi,train,True,,-1,-1,False,-1
112224_NF010B-NF010Y,112224,multi,train,True,,-1,-1,False,-1
112224_NF031R-NF031G,112224,multi,train,True,,-1,-1,False,-1
112224_NF009R-NF009G,112224,multi,train,True,,-1,-1,False,-1
020625_NF020B-NF020Y,020625,multi,train,True,,-1,-1,False,-1
020625_KM012R-KM012G,020625,multi,train,True,,-1,-1,False,-1
062424_HF003B-HF004Y,062424,multi,train,True,,-1,-1,False,-1
012125_KM010B-KM010Y,012125,multi,train,True,,-1,-1,False,-1
012125_KM011B-KM011Y,012125,multi,train,True,,-1,-1,False,-1
012125_KM013R-KM013G,012125,multi,train,True,,-1,-1,False,-1
012125_KM016B-KM016Y,012125,multi,train,True,,-1,-1,False,-1
012125_NF033R-NF033B,012125,multi,train,True,,-1,-1,False,-1
061224_HF003B-HF004Y,061224,multi,train,True,,-1,-1,False,-1
011525_NF033B-NF033R,011525,multi,train,True,,-1,-1,False,-1
062024_HF003B-HF004Y,062024,multi,train,True,,-1,-1,False,-1
041824_EB001R-EB031B,041824,multi,train,True,,-1,-1,False,-1
041824_EB009B-EB033Y,041824,multi,train,True,,-1,-1,False,-1
041824_EB003B-EB019Y,041824,multi,train,True,,-1,-1,False,-1
041824_EB005Y-EB007R,041824,multi,train,True,,-1,-1,False,-1
041824_EB011Y-EB015R,041824,multi,train,True,,-1,-1,False,-1
041824_EB027Y-EB029R,041824,multi,train,True,,-1,-1,False,-1
041824_EB021R-EB023B,041824,multi,train,True,,-1,-1,False,-1
042624_EB005Y-EB007R,042624,multi,train,True,,-1,-1,False,-1
042624_EB027Y-EB029R,042624,multi,train,True,,-1,-1,False,-1
042624_EB001R-EB031B,042624,multi,train,True,,-1,-1,False,-1
042624_EB021R-EB023B,042624,multi,train,True,,-1,-1,False,-1
041424_EB001R-EB003B,041424,multi,train,True,,-1,-1,False,-1
041424_EB031B-EB033Y,041424,multi,train,True,,-1,-1,False,-1
041424_EB009B-EB019Y,041424,multi,train,True,,-1,-1,False,-1
042224_EB001R-EB031B,042224,multi,train,True,,-1,-1,False,-1
042224_EB005Y-EB007R,042224,multi,train,True,,-1,-1,False,-1
042224_EB011Y-EB015R,042224,multi,train,True,,-1,-1,False,-1
042224_EB003B-EB019Y,042224,multi,train,True,,-1,-1,False,-1
042224_EB009B-EB033Y,042224,multi,train,True,,-1,-1,False,-1
042224_EB027Y-EB029R,042224,multi,train,True,,-1,-1,False,-1
042224_EB021R-EB023B,042224,multi,train,True,,-1,-1,False,-1
043024_EB005Y-EB007R,043024,multi,train,True,,-1,-1,False,-1
043024_EB027Y-EB029R,043024,multi,train,True,,-1,-1,False,-1
043024_EB001R-EB031B,043024,multi,train,True,,-1,-1,False,-1
043024_EB021R-EB023B,043024,multi,train,True,,-1,-1,False,-1
033124_KL001B-KL001Y,033124,multi,train,True,,-1,-1,False,-1
033124_KL008G-KL008B,033124,multi,train,True,,-1,-1,False,-1
033124_KL007G-KL007Y,033124,multi,train,True,,-1,-1,False,-1
033124_KL002B-KL002Y,033124,multi,train,True,,-1,-1,False,-1
033124_KL006R-KL006G,033124,multi,train,True,,-1,-1,False,-1
033124_KL003G-KL003B,033124,multi,train,True,,-1,-1,False,-1
033124_KL004R-KL004G,033124,multi,train,True,,-1,-1,False,-1
033124_KL005B-KL005Y,033124,multi,train,True,,-1,-1,False,-1
040224_KL003G-KL003B,040224,multi,train,True,,-1,-1,False,-1
040224_KL005B-KL005Y,040224,multi,train,True,,-1,-1,False,-1
040224_KL006R-KL006G,040224,multi,train,True,,-1,-1,False,-1
040224_KL007G-KL007Y,040224,multi,train,True,,-1,-1,False,-1
040224_KL008G-KL008B,040224,multi,train,True,,-1,-1,False,-1
040224_KL002B-KL002Y,040224,multi,train,True,,-1,-1,False,-1
040224_KL004R-KL004G,040224,multi,train,True,,-1,-1,False,-1
040224_KL001B-KL001Y,040224,multi,train,True,,-1,-1,False,-1
041024_EB021R-EB023B,041024,multi,train,True,,-1,-1,False,-1
041024_EB009B-EB019Y,041024,multi,train,True,,-1,-1,False,-1
041024_EB011Y-EB015R,041024,multi,train,True,,-1,-1,False,-1
041024_EB001R-EB003B,041024,multi,train,True,,-1,-1,False,-1
041024_EB031B-EB033Y,041024,multi,train,True,,-1,-1,False,-1
041024_EB005Y-EB007R,041024,multi,train,True,,-1,-1,False,-1
041024_EB027Y-EB029R,041024,multi,train,True,,-1,-1,False,-1
013025_KM012R-KM012G,013025,multi,train,True,,-1,-1,False,-1
013025_KM009R-KM009G,013025,multi,train,True,,-1,-1,False,-1
012425_KM016B-KM016Y,012425,multi,train,True,,-1,-1,False,-1
012425_KM009R-KM009G,012425,multi,train,True,,-1,-1,False,-1
012425_NF021R-NF021G,012425,multi,train,True,,-1,-1,False,-1
012425_KM015R-KM015G,012425,multi,train,True,,-1,-1,False,-1
012425_NF030B-NF030Y,012425,multi,train,True,,-1,-1,False,-1
070924_HF006G-HF008Y,070924,multi,train,True,,-1,-1,False,-1
070924_HF003B-HF004Y,070924,multi,train,True,,-1,-1,False,-1
070924_HF001R-HF002G,070924,multi,train,True,,-1,-1,False,-1
121624_NM013R-NM013G,121624,multi,train,True,,-1,-1,False,-1
061824_HF003B-HF004Y,061824,multi,train,True,,-1,-1,False,-1
070524_HF006G-HF008Y,070524,multi,train,True,,-1,-1,False,-1
070524_HF003B-HF004Y,070524,multi,train,True,,-1,-1,False,-1
070524_HF001R-HF002G,070524,multi,train,True,,-1,-1,False,-1
112524_NM016B-NM016Y,112524,multi,train,True,,-1,-1,False,-1
112524_NF020B-NF020Y,112524,multi,train,True,,-1,-1,False,-1
112524_NF019R-NF019G,112524,multi,train,True,,-1,-1,False,-1
112524_NF017R-NF017G,112524,multi,train,True,,-1,-1,False,-1
112524_NM001R-NM001G,112524,multi,train,True,,-1,-1,False,-1
112524_NM015R-NM015G,112524,multi,train,True,,-1,-1,False,-1
112524_NM028R-NM028G,112524,multi,train,True,,-1,-1,False,-1
112524_NF010B-NF010Y,112524,multi,train,True,,-1,-1,False,-1
112524_NF031R-NF031G,112524,multi,train,True,,-1,-1,False,-1
112524_NM004B-NM004B,112524,multi,train,True,,-1,-1,False,-1
112524_NM014B-NM014Y,112524,multi,train,True,,-1,-1,False,-1
112524_NM003R-NM003G,112524,multi,train,True,,-1,-1,False,-1
112524_NM002B-NM002Y,112524,multi,train,True,,-1,-1,False,-1
120424_NM015R-NM015G,120424,multi,train,True,,-1,-1,False,-1
120424_NM002B-NM002Y,120424,multi,train,True,,-1,-1,False,-1
120424_NM004B-NM004Y,120424,multi,train,True,,-1,-1,False,-1
120424_NM001R-NM001G,120424,multi,train,True,,-1,-1,False,-1
120424_NM016B-NM016Y,120424,multi,train,True,,-1,-1,False,-1
121224_NM013R-NM013G,121224,multi,train,True,,-1,-1,False,-1
111324_NF019R-NF019G,111324,multi,train,True,,-1,-1,False,-1
111324_NM006B-NM006B,111324,multi,train,True,,-1,-1,False,-1
111324_NM005R-NM005G,111324,multi,train,True,,-1,-1,False,-1
111324_NM011R-NM011G,111324,multi,train,True,,-1,-1,False,-1
111324_NF010B-NF010Y,111324,multi,train,True,,-1,-1,False,-1
112124_NM028R-NM028G,112124,multi,train,True,,-1,-1,False,-1
112124_NF009R-NF009G,112124,multi,train,True,,-1,-1,False,-1
112124_NF031R-NF031G,112124,multi,train,True,,-1,-1,False,-1
112124_NF019R-NF019G,112124,multi,train,True,,-1,-1,False,-1
112124_NF010B-NF010Y,112124,multi,train,True,,-1,-1,False,-1
112124_NF018B-NF018Y,112124,multi,train,True,,-1,-1,False,-1
112124_NF032B-NF032Y,112124,multi,train,True,,-1,-1,False,-1
112124_NM003R-NM003G,112124,multi,train,True,,-1,-1,False,-1
112124_NF008B-NF008Y,112124,multi,train,True,,-1,-1,False,-1
112124_NM014B-NM014Y,112124,multi,train,True,,-1,-1,False,-1
112124_NM002B-NM002Y,112124,multi,train,True,,-1,-1,False,-1
112124_NF017R-NF017G,112124,multi,train,True,,-1,-1,False,-1
012225_NF021R-NF021G,012225,multi,train,True,,-1,-1,False,-1
012225_KM010B-KM010Y,012225,multi,train,True,,-1,-1,False,-1
012225_KM016B-KM016Y,012225,multi,train,True,,-1,-1,False,-1
012225_KM011B-KM011Y,012225,multi,train,True,,-1,-1,False,-1
012225_KM013R-KM013G,012225,multi,train,True,,-1,-1,False,-1
012225_NF033R-NF033B,012225,multi,train,True,,-1,-1,False,-1
013125_KM012R-KM012G,013125,multi,train,True,,-1,-1,False,-1
013125_KM009R-KM009G,013125,multi,train,True,,-1,-1,False,-1
013125_NF021R-NF021G,013125,multi,train,True,,-1,-1,False,-1
011025_NF033B-NF033R,011025,multi,train,True,,-1,-1,False,-1
040924_EB021R-EB023B,040924,multi,train,True,,-1,-1,False,-1
040924_EB011Y-EB015R,040924,multi,train,True,,-1,-1,False,-1
040924_EB005Y-EB007R,040924,multi,train,True,,-1,-1,False,-1
040924_EB027Y-EB029R,040924,multi,train,True,,-1,-1,False,-1
041724_EB011Y-EB015R,041724,multi,train,True,,-1,-1,False,-1
041724_EB027Y-EB029R,041724,multi,train,True,,-1,-1,False,-1
041724_EB005Y-EB007R,041724,multi,train,True,,-1,-1,False,-1
041724_EB021R-EB023B,041724,multi,train,True,,-1,-1,False,-1
042524_EB009B-EB033Y,042524,multi,train,True,,-1,-1,False,-1
042524_EB027Y-EB029R,042524,multi,train,True,,-1,-1,False,-1
042524_EB021R-EB023B,042524,multi,train,True,,-1,-1,False,-1
042524_EB005Y-EB007R,042524,multi,train,True,,-1,-1,False,-1
042524_EB011Y-EB015R,042524,multi,train,True,,-1,-1,False,-1
042524_EB003B-EB019Y,042524,multi,train,True,,-1,-1,False,-1
042524_EB001R-EB031B,042524,multi,train,True,,-1,-1,False,-1
040524_KL001B-KL001Y,040524,multi,train,True,,-1,-1,False,-1
040524_KL007G-KL007Y,040524,multi,train,True,,-1,-1,False,-1
040524_KL008G-KL008B,040524,multi,train,True,,-1,-1,False,-1
040524_KL002B-KL002Y,040524,multi,train,True,,-1,-1,False,-1
040524_KL005B-KL005Y,040524,multi,train,True,,-1,-1,False,-1
040524_KL006R-KL006G,040524,multi,train,True,,-1,-1,False,-1
041324_EB001R-EB003B,041324,multi,train,True,,-1,-1,False,-1
041324_EB031B-EB033Y,041324,multi,train,True,,-1,-1,False,-1
041324_EB009B-EB019Y,041324,multi,train,True,,-1,-1,False,-1
041324_EB005Y-EB007R,041324,multi,train,True,,-1,-1,False,-1
012325_KM015R-KM015G,012325,multi,train,True,,-1,-1,False,-1
012325_KM016B-KM016Y,012325,multi,train,True,,-1,-1,False,-1
012325_KM013R-KM013G,012325,multi,train,True,,-1,-1,False,-1
012325_NF021R-NF021G,012325,multi,train,True,,-1,-1,False,-1
012325_KM011B-KM011Y,012325,multi,train,True,,-1,-1,False,-1
011725_NF033B-NF033R,011725,multi,train,True,,-1,-1,False,-1
033024_KL005B-KL005Y,033024,multi,train,True,,-1,-1,False,-1
033024_KL004R-KL004G,033024,multi,train,True,,-1,-1,False,-1
033024_KL003G-KL003B,033024,multi,train,True,,-1,-1,False,-1
033024_KL002B-KL002Y,033024,multi,train,True,,-1,-1,False,-1
033024_KL001B-KL001Y,033024,multi,train,True,,-1,-1,False,-1
033024_KL007G-KL007Y,033024,multi,train,True,,-1,-1,False,-1
033024_KL008G-KL008B,033024,multi,train,True,,-1,-1,False,-1
033024_KL006R-KL006G,033024,multi,train,True,,-1,-1,False,-1
040124_KL003G-KL003B,040124,multi,train,True,,-1,-1,False,-1
040124_KL005B-KL005Y,040124,multi,train,True,,-1,-1,False,-1
040124_KL002B-KL002Y,040124,multi,train,True,,-1,-1,False,-1
040124_KL004R-KL004G,040124,multi,train,True,,-1,-1,False,-1
040124_KL006R-KL006G,040124,multi,train,True,,-1,-1,False,-1
040124_KL007G-KL007Y,040124,multi,train,True,,-1,-1,False,-1
040124_KL008G-KL008B,040124,multi,train,True,,-1,-1,False,-1
040124_KL001B-KL001Y,040124,multi,train,True,,-1,-1,False,-1
070824_HF003B-HF004Y,070824,multi,train,True,,-1,-1,False,-1
070824_HF006G-HF008Y,070824,multi,train,True,,-1,-1,False,-1
070824_HF001R-HF002G,070824,multi,train,True,,-1,-1,False,-1
071624_HF003B-HF004Y,071624,multi,train,True,,-1,-1,False,-1
071624_HF001R-HF002G,071624,multi,train,True,,-1,-1,False,-1
071624_HF006G-HF008Y,071624,multi,train,True,,-1,-1,False,-1
071224_HF001R-HF002G,071224,multi,train,True,,-1,-1,False,-1
071224_HF003B-HF004Y,071224,multi,train,True,,-1,-1,False,-1
071224_HF006G-HF008Y,071224,multi,train,True,,-1,-1,False,-1
110824_NM006B-NM006Y,110824,multi,train,True,,-1,-1,False,-1
110824_NF010B-NF010Y,110824,multi,train,True,,-1,-1,False,-1
120324_NM015R-NM015G,120324,multi,train,True,,-1,-1,False,-1
120324_NF019R-NF019G,120324,multi,train,True,,-1,-1,False,-1
120324_NM013R-NM013G,120324,multi,train,True,,-1,-1,False,-1
120324_NF020B-NF020Y,120324,multi,train,True,,-1,-1,False,-1
120324_NM014B-NM014Y,120324,multi,train,True,,-1,-1,False,-1
120324_NM002B-NM002Y,120324,multi,train,True,,-1,-1,False,-1
120324_NF031G-NF031R,120324,multi,train,True,,-1,-1,False,-1
120324_NM028R-NM028G,120324,multi,train,True,,-1,-1,False,-1
120324_NM004B-NM004B,120324,multi,train,True,,-1,-1,False,-1
120324_NM003R-NM003G,120324,multi,train,True,,-1,-1,False,-1
111224_NF010B-NF010Y,111224,multi,train,True,,-1,-1,False,-1
112024_NF031R-NF031G,112024,multi,train,True,,-1,-1,False,-1
112024_NF008B-NF008Y,112024,multi,train,True,,-1,-1,False,-1
112024_NF010B-NF010Y,112024,multi,train,True,,-1,-1,False,-1
112024_NM002B-NM002Y,112024,multi,train,True,,-1,-1,False,-1
112024_NF019R-NF019G,112024,multi,train,True,,-1,-1,False,-1
112024_NF018B-NF018Y,112024,multi,train,True,,-1,-1,False,-1
112024_NF032B-NF032Y,112024,multi,train,True,,-1,-1,False,-1
112024_NM003R-NM003G,112024,multi,train,True,,-1,-1,False,-1
112024_NM014B-NM014Y,112024,multi,train,True,,-1,-1,False,-1
112024_NF009R-NF009G,112024,multi,train,True,,-1,-1,False,-1
010925_NF033B-NF033R,010925,multi,train,True,,-1,-1,False,-1
020325_KM009R-KM009G,020325,multi,train,True,,-1,-1,False,-1
020325_KM012R-KM012G,020325,multi,train,True,,-1,-1,False,-1
020325_NF021R-NF021G,020325,multi,train,True,,-1,-1,False,-1
012725_NF030B-NF030Y,012725,multi,train,True,,-1,-1,False,-1
012725_NF021R-NF021G,012725,multi,train,True,,-1,-1,False,-1
012725_KM009R-KM009G,012725,multi,train,True,,-1,-1,False,-1
012725_KM015R-KM015G,012725,multi,train,True,,-1,-1,False,-1
032924_KL006R-KL006G,032924,multi,train,True,,-1,-1,False,-1
032924_KL007G-KL007Y,032924,multi,train,True,,-1,-1,False,-1
032924_KL008G-KL008B,032924,multi,train,True,,-1,-1,False,-1
032924_KL003G-KL003B,032924,multi,train,True,,-1,-1,False,-1
032924_KL005B-KL005Y,032924,multi,train,True,,-1,-1,False,-1
032924_KL002B-KL002Y,032924,multi,train,True,,-1,-1,False,-1
032924_KL001B-KL001Y,032924,multi,train,True,,-1,-1,False,-1
