vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho
091924_Cam1_TrNum8_Coop_KL003B-KL001Y,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,True,YB,-1,-1,False,0.0031573574449467,True,True,coop,UF,True
091924_Cam1_TrNum10_Coop_KL003B-KL004G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
092424_Cam1_TrNum8_Coop_KL002B-KL002Y,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,YB,-1,-1,False,0.0002309024437175,True,True,coop,TP,True
092424_Cam1_TrNum14_Coop_KL002B-KL006R,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,RB,-1,-1,False,0.0025437516947915,True,True,coop,UF,True
092424_Cam1_TrNum10_Coop_KL002B-KL001Y,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,YB,-1,-1,False,0.0042057097819423,True,True,coop,UF,True
092424_Cam2_TrNum8_Coop_KL005Y-KL003G,092424_FiberPho_KL005Y-KL008_TimeOut,multi,test,True,GY,-1,-1,False,0.0048619203772459,True,True,coop,UF,True
092424_Cam2_TrNum12_Coop_KL005Y-KL008B,092424_FiberPho_KL005Y-KL008_TimeOut,multi,test,True,YB,-1,-1,False,0.0034092462476419,False,False,coop,UF,True
092524_Cam1_TrNum12_Coop_KL005Y-KL003G,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,GY,-1,-1,False,0.011470207082595,True,True,coop,UF,True
092524_Cam1_TrNum10_Coop_KL005Y-KL005B,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,YB,-1,-1,False,0.000726131779471,True,True,coop,TP,True
092524_Cam1_TrNum8_Coop_KL005Y-KL006R,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,RY,-1,-1,False,0.0044481997328899,True,True,coop,UF,True
092524_Cam2_TrNum8_Coop_KL006G-KL002B,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,False,coop,UF,True
092524_Cam2_TrNum14_Coop_KL006G-KL002Y,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,True,GY,-1,-1,False,0.0023142395626242,True,True,coop,UF,True
092524_Cam2_TrNum12_Coop_KL006G-KL006R,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,True,RG,-1,-1,False,0.0015903905516038,True,True,coop,TP,True
092624_Cam2_TrNum14_Coop_KL002B-KL006R,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,RB,-1,-1,False,0.0018335306925398,True,True,coop,UF,True
092624_Cam2_TrNum12_Coop_KL002B-KL002Y,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,YB,-1,-1,False,0.0001549486732519,True,True,coop,TP,True
092624_Cam2_TrNum10_Coop_KL002B-KL008G,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
092624_Cam1_TrNum8_Coop_KL003B-KL003G,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
092624_Cam1_TrNum12_Coop_KL003B-KL001Y,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,True,YB,-1,-1,False,0.0023487828516048,True,True,coop,UF,True
092624_Cam1_TrNum10_Coop_KL003B-KL005Y,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,True,YB,-1,-1,False,0.0009770790478989,True,True,coop,UF,True
092724_Cam2_TrNum11_Coop_KL007Y-KL003G,092724_FiberPho_KL007Y_KL003_TimeOut,multi,test,True,GY,-1,-1,False,0.002334577720067,True,True,coop,UF,True
092724_Cam2_TrNum15_Coop_KL007Y-KL003B,092724_FiberPho_KL007Y_KL003_TimeOut,multi,test,True,YB,-1,-1,False,1.5931684934998726e-05,True,True,coop,UF,True
092724_Cam1_TrNum15_Coop_KL008G-KL008B,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,False,coop,TP,True
092724_Cam1_TrNum9_Coop_KL008G-KL006R,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,True,RG,-1,-1,False,0.0038515182912249,True,True,coop,UF,True
092724_Cam1_TrNum13_Coop_KL008G-KL002Y,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0060593813988576,True,True,coop,UF,True
093024_Cam2_TrNum13_Coop_KL004G-KL001Y,093024_FiberPho_KL004G-KL001_TimeOut,multi,test,True,GY,-1,-1,False,0.0025110183252145,True,True,coop,UF,True
093024_Cam2_TrNum10_Coop_KL004G-KL005B,093024_FiberPho_KL004G-KL001_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
093024_Cam1_TrNum9_Coop_KL007Y-KL003G,093024_FiberPho_KL007Y_KL003_2X_TimeOut,multi,test,True,GY,-1,-1,False,0.001255636272545,True,True,coop,UF,True
093024_Cam1_TrNum14_Coop_KL007Y-KL003B,093024_FiberPho_KL007Y_KL003_2X_TimeOut,multi,test,True,YB,-1,-1,False,0.0002397995705082,True,True,coop,UF,True
100124_Cam2_TrNum15_Coop_KL004G-KL005B,100124_FiberPho_KL004G-KL001_2X_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,False,False,coop,UF,True
100124_Cam2_TrNum9_Coop_KL004G-KL001Y,100124_FiberPho_KL004G-KL001_2X_TimeOut,multi,test,True,GY,-1,-1,False,0.0055186459445564,True,True,coop,UF,True
100124_Cam1_TrNum13_Coop_KL008G-KL002Y,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,True,GY,-1,-1,False,0.0057554450822598,True,True,coop,UF,True
100124_Cam1_TrNum11_Coop_KL008G-KL008B,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
100124_Cam1_TrNum15_Coop_KL008G-KL006R,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,True,RG,-1,-1,False,-1.0,True,True,coop,UF,True
100224_Cam2_TrNum12_Coop_KL002Y-KL002B,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,YB,-1,-1,False,0.0002814001372683,True,True,coop,TP,True
100224_Cam2_TrNum10_Coop_KL002Y-KL003B,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,YB,-1,-1,False,0.0003351955307262,True,True,coop,UF,True
100224_Cam2_TrNum8_Coop_KL002Y-KL006R,100224_FiberPho_KL002Y-KL003_TimeOut,multi,test,True,RY,-1,-1,False,-1.0,True,True,coop,UF,True
100224_Cam1_TrNum12_Coop_KL006G-KL006R,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,True,RG,-1,-1,False,0.002170005990814,True,True,coop,TP,True
100224_Cam1_TrNum14_Coop_KL006G-KL005B,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
100224_Cam1_TrNum8_Coop_KL006G-KL008B,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,False,False,coop,UF,True
100324_Cam1_TrNum5_Coop_KL002B-KL002Y,100324_FiberPho_KL002B_TimeOut_Opaque,multi,test,True,YB,-1,-1,False,0.000105952156715,True,True,coop,TP,True
100324_Cam2_TrNum5_Coop_KL003B-KL003G,100324_FiberPho_KL003B_TimeOut_Opaque,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
100324_Cam1_TrNum6_Coop_KL005Y-KL005B,100324_FiberPho_KL005Y_TimeOut_Opaque,multi,test,True,YB,-1,-1,False,0.0019145867028019,True,True,coop,TP,True
100324_Cam2_TrNum6_Coop_KL006G-KL006R,100324_FiberPho_KL006G_TimeOut_Opaque,multi,test,True,RG,-1,-1,False,0.0007389890629618,True,True,coop,TP,True
101724_Cam2_TrNum5_Coop_HF004Y-HF001R,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,RY,-1,-1,False,-1.0,True,True,coop,UF,True
101724_Cam2_TrNum6_Coop_HF004Y-HF003B,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,YB,-1,-1,False,-1.0,True,True,coop,TP,True
101724_Cam2_TrNum4_Coop_HF004Y-HF003B,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,YB,-1,-1,False,0.0077076985205036,True,True,coop,TP,True
101724_Cam1_TrNum7_Coop_HF008Y-HF006G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,False,coop,TP,True
101724_Cam1_TrNum6_Coop_HF008Y-HF002G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,UF,True
101724_Cam1_TrNum4_Coop_HF008Y-HF006G,101724_FiberPho_HF008Y_HF002G_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,False,coop,TP,True
101824_Cam2_TrNum5_Coop_KL006G-HF001R,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,RG,-1,-1,False,-1.0,True,True,coop,UF,True
101824_Cam2_TrNum4_Coop_KL006G-KL008Y,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,TP,True
101824_Cam2_TrNum7_Coop_KL006G-KL008Y,101824_FiberPho_HF006G_HF001R_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,False,False,coop,TP,True
102124_Cam1_TrNum5_Coop_HF004Y-HF003B,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,YB,-1,-1,False,-1.0,True,True,coop,TP,True
102124_Cam1_TrNum7_Coop_HF004Y-HF003B,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,YB,-1,-1,False,-1.0,True,True,coop,TP,True
102124_Cam1_TrNum6_Coop_HF004Y-HF006G,102124_FiberPho_HF004Y_HF006G_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,UF,True
102124_Cam2_TrNum4_Coop_HF008Y-HF006G,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,TP,True
102124_Cam2_TrNum7_Coop_HF008Y-HF006G,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,TP,True
102124_Cam2_TrNum6_Coop_HF008Y-HF001R,102124_FiberPho_HF008Y_HF001R_TimeOut,multi,test,True,RY,-1,-1,False,-1.0,True,True,coop,UF,True
102224_Cam2_TrNum4_Coop_HF003B-HF004Y,102224_FiberPho_HF003B_HF001R_TimeOut,multi,test,True,YB,-1,-1,False,-1.0,True,True,coop,TP,True
